index,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,timestamp
0,23.7,26.272,585.2,749.2,0.0047641630241641,1,2015-02-02 14:19:00.000000
1,23.718,26.29,578.4,760.4,0.0047726609921251,1,2015-02-02 14:19:59.000000
2,23.73,26.23,572.666666666667,769.666666666667,0.0047651525524654,1,2015-02-02 14:21:00.000000
3,23.7225,26.125,493.75,774.75,0.0047437733559968,1,2015-02-02 14:22:00.000000
4,23.754,26.2,488.6,779,0.0047665939999861,1,2015-02-02 14:23:00.000000
5,23.76,26.26,568.666666666667,790,0.0047793324316345,1,2015-02-02 14:23:59.000000
6,23.73,26.29,536.333333333333,798,0.0047761363327489,1,2015-02-02 14:25:00.000000
7,23.754,26.29,509,797,0.0047830937083903,1,2015-02-02 14:25:59.000000
8,23.754,26.35,476,803.2,0.0047940939966204,1,2015-02-02 14:26:59.000000
9,23.736,26.39,510,809,0.0047961887103893,1,2015-02-02 14:28:00.000000
10,23.745,26.445,481.5,815.25,0.0048088862206771,1,2015-02-02 14:29:00.000000
11,23.7,26.56,481.8,824,0.0048167933677358,1,2015-02-02 14:30:00.000000
12,23.7,26.6,475.25,832,0.0048241038367487,1,2015-02-02 14:31:00.000000
13,23.7,26.7,469,845.333333333333,0.0048423807553356,1,2015-02-02 14:31:59.000000
14,23.7,26.774,464,852.4,0.0048559063612897,1,2015-02-02 14:32:59.000000
15,23.7,26.89,464,861,0.0048771098371907,1,2015-02-02 14:34:00.000000
16,23.7,26.9725,455,880,0.004892190768364,1,2015-02-02 14:35:00.000000
17,23.6,26.89,454,891,0.0048475944139699,1,2015-02-02 14:36:00.000000
18,23.64,26.976,458,897.6,0.0048750447811301,1,2015-02-02 14:37:00.000000
19,23.65,27.05,464,900.5,0.0048914915892962,1,2015-02-02 14:38:00.000000
20,23.64,27.1,473,908.8,0.0048976302434582,1,2015-02-02 14:38:59.000000
21,23.6,27.16,464,918,0.0048966518452253,1,2015-02-02 14:39:59.000000
22,23.6,27.236,498.4,925.2,0.0049104619885559,1,2015-02-02 14:41:00.000000
23,23.6,27.29,530.2,929.4,0.0049202748285747,1,2015-02-02 14:42:00.000000
24,23.6,27.33,533.6,936.4,0.0049275437970155,1,2015-02-02 14:43:00.000000
25,23.6,27.34,524.25,950,0.0049293610654639,1,2015-02-02 14:44:00.000000
26,23.625,27.3925,498.666666666667,961,0.0049464057474414,1,2015-02-02 14:44:59.000000
27,23.6,27.39,516.333333333333,963,0.0049384475657387,1,2015-02-02 14:45:59.000000
28,23.6,27.412,501.2,958.6,0.0049424457093031,1,2015-02-02 14:47:00.000000
29,23.6,27.5,522,965.333333333333,0.0049584387935172,1,2015-02-02 14:48:00.000000
30,23.6,27.525,520.5,979.25,0.0049629824321816,1,2015-02-02 14:49:00.000000
31,23.6,27.6,505.285714285714,978.428571428571,0.0049766137433226,1,2015-02-02 14:50:00.000000
32,23.6,27.6,488.333333333333,983,0.0049766137433226,1,2015-02-02 14:51:00.000000
33,23.6,27.54,512,992.6,0.0049657086469915,1,2015-02-02 14:51:59.000000
34,23.6,27.6,511,997.2,0.0049766137433226,1,2015-02-02 14:53:00.000000
35,23.6166666666667,27.6333333333333,501.5,999.5,0.0049877184213918,1,2015-02-02 14:54:00.000000
36,23.6666666666667,27.7,503.666666666667,1001,0.0050150508609538,1,2015-02-02 14:55:00.000000
37,23.6,27.7,483.166666666667,1009.5,0.0049947897469088,1,2015-02-02 14:55:59.000000
38,23.6,27.7225,483.5,1019,0.0049988794929492,1,2015-02-02 14:57:00.000000
39,23.6,27.79,473,1021,0.0050111490511946,1,2015-02-02 14:57:59.000000
40,23.6,27.8566666666667,470.333333333333,1024.66666666667,0.0050232676047643,1,2015-02-02 14:58:59.000000
41,23.6,27.8042857142857,480.142857142857,1030.42857142857,0.0050137458446678,1,2015-02-02 15:00:00.000000
42,23.575,27.79,464,1026.25,0.0050035447484533,1,2015-02-02 15:01:00.000000
43,23.54,27.81,474.4,1028,0.0049965380106032,1,2015-02-02 15:02:00.000000
44,23.6,27.978,470,1034.8,0.0050453245744206,1,2015-02-02 15:03:00.000000
45,23.525,28,454,1055.5,0.0050263667581946,1,2015-02-02 15:04:00.000000
46,23.5,27.978,454,1055.25,0.0050147597241768,1,2015-02-02 15:04:59.000000
47,23.5,28,454,1050,0.0050187348078695,1,2015-02-02 15:06:00.000000
48,23.5,28,454,1051.25,0.0050187348078695,1,2015-02-02 15:07:00.000000
49,23.5,28,445,1053.6,0.0050187348078695,1,2015-02-02 15:08:00.000000
50,23.5,28,439,1055.5,0.0050187348078695,1,2015-02-02 15:08:59.000000
51,23.5,28.025,444.25,1055,0.0050232520096096,1,2015-02-02 15:10:00.000000
52,23.445,28.125,454.75,1059.5,0.0050244911474795,1,2015-02-02 15:10:59.000000
53,23.39,28.18,455.8,1060,0.0050175822743852,1,2015-02-02 15:11:59.000000
54,23.39,28.2,451.6,1073.6,0.0050211721163507,1,2015-02-02 15:13:00.000000
55,23.39,28.2,451.6,1078.6,0.0050211721163507,1,2015-02-02 15:14:00.000000
56,23.39,28.2,454.75,1081,0.0050211721163507,1,2015-02-02 15:15:00.000000
57,23.39,28.2225,454.75,1082,0.0050252107376962,1,2015-02-02 15:16:00.000000
58,23.39,28.3733333333333,457.5,1088.83333333333,0.0050522858020048,1,2015-02-02 15:16:59.000000
59,23.37,28.39,464,1090.6,0.0050491295423263,1,2015-02-02 15:17:59.000000
60,23.39,28.3233333333333,464,1086,0.0050433103834894,1,2015-02-02 15:19:00.000000
